time,lat,lon
1711974008,22.266355640924,-21.059266951296
1711974017,22.7001226311,-20.674474481554
1711974026,23.132747358269,-20.287021859619
1711974035,23.564200385091,-19.896840799919
1711974044,23.994445935626,-19.503867483356
1711974053,24.423453451908,-19.108032084938
1711974062,24.851189857264,-18.709265731784
1711974071,25.277621471109,-18.307498759657
1711974080,25.702715889385,-17.902658892003
1711974089,26.126434372169,-17.494678489703
1711974098,26.548743228463,-17.083483691276
1711974107,26.969606191209,-16.669001637605
1711974116,27.388986302825,-16.251158670395
1711974125,27.806847761724,-15.829878444077
1711974134,28.223148438948,-15.405089478898
1711974143,28.637851067903,-14.976713868486
1711974152,29.050915746868,-14.544674805844
1711974161,29.462301791671,-14.108894718698
1711974170,29.871969544263,-13.669293308886
1711974179,30.279873035985,-13.225795445743
1711974188,30.685970956895,-12.778319394001
1711974197,31.090219303316,-12.32678467818
1711974206,31.492574988261,-11.871108103829
1711974215,31.892988636056,-11.411211951509
1711974224,32.2914153555,-10.947011786011
1711974233,32.687807517464,-10.478424619976
1711974242,33.082116538902,-10.005366924441
1711974251,33.474294612428,-9.527752525752
1711974260,33.864287684603,-9.0455012128259
1711974269,34.252045957032,-8.5585259782302
1711974278,34.637516845977,-8.0667415936137
1711974287,35.020646722819,-7.5700625456986
1711974296,35.40138259359,-7.0684008485344
1711974305,35.779665285075,-6.5616751076852
1711974314,36.155439641418,-6.0497971426443
1711974323,36.528647689889,-5.5326810179622
1711974332,36.899231984624,-5.0102385540866
1711974341,37.267128978314,-4.482388789434
1711974350,37.632278949964,-3.9490440712389
1711974359,37.994619354964,-3.4101194836335
1711974368,38.354086477524,-2.8655306418592
1711974377,38.710617009056,-2.3151913445039
1711974386,39.06414167873,-1.759023573238
1711974395,39.41459481111,-1.1969428736337
1711974404,39.761907933523,-0.62886831962926
1711974413,40.106011374479,-0.054720224638372
1711974422,40.446835779879,0.52558229930871
1711974431,40.7843060355,1.1121107614505
1711974440,41.118350413723,1.7049426715149
1711974449,41.448894471324,2.3041509967237
1711974458,41.775864043962,2.9098092605862
1711974467,42.09917942833,3.5219804713299
1711974476,42.418764168623,4.1407331443419
1711974485,42.734539212778,4.766130270134
1711974494,43.046424404954,5.3982317670863
1711974503,43.354339879464,6.037097103418
1711974512,43.658200602853,6.6827735854649
1711974521,43.95792466776,7.3353132269236
1711974530,44.253427807469,7.9947610816752
1711974539,44.544624824458,8.6611578032783
1711974548,44.831430910344,9.3345423827817
1711974557,45.113756589549,10.014939782269
1711974566,45.39151547025,10.702378696612
1711974575,45.664619158448,11.396879239835
1711974584,45.932979807004,12.098458784364
1711974593,46.196505411576,12.807119074341
1711974602,46.455107088215,13.522864732344
1711974611,46.708694337691,14.245690435088
1711974620,46.95717634621,14.975583724726
1711974629,47.200463157364,15.712528012982
1711974638,47.438469873133,16.456517200069
1711974647,47.671081156589,17.207434501415
1711974656,47.898231233397,17.965320306451
1711974665,48.119820848068,18.730093891231
1711974674,48.335760472162,19.501697265704
1711974683,48.545958171975,20.280052968943
1711974692,48.750325536222,21.065084534741
1711974701,48.948773929111,21.856702513016
1711974710,49.141216459815,22.65481129614
1711974719,49.327564717154,23.459294652542
1711974728,49.507734084809,24.270036994449
1711974737,49.681640429303,25.086909023687
1711974746,49.849201133173,25.909771204302
1711974755,50.010335962689,26.73847743195
1711974764,50.164964378964,27.572860176014
1711974773,50.31301002546,28.412752731603
1711974782,50.454397983129,29.25797448815
1711974791,50.589055670663,30.108334722533
1711974800,50.716913565396,30.963636575818
1711974809,50.837903110421,31.823661921632
1711974818,50.951960305061,32.68819453587
1711974827,51.059023545225,33.557005094347
1711974836,51.159034363565,34.42985529929
1711974845,51.251937977276,35.306502163312
1711974854,51.337681801337,36.186682716048
1711974863,51.41621807693,37.070137960234
1711974872,51.487502307006,37.956597692829
1711974881,51.551494077982,38.845788915866
1711974890,51.608156059956,39.737420480064
1711974899,51.657455825651,40.631207526564
1711974908,51.699364765458,41.526856218894
1711974917,51.733858471097,42.424068361359
1711974926,51.760916909853,43.322546091966
1711974935,51.780524032069,44.221976505791
1711974944,51.792668542893,45.122056468477
1711974953,51.797343418464,46.022477280075
1711974962,51.794546064105,46.922929423746
1711974971,51.784278259445,47.823107328382
1711974980,51.766546370198,48.7226940133
1711974989,51.741361054573,49.621385971044
1711974998,51.708737382563,50.518877796132
1711975007,51.668694567677,51.414870927187
1711975016,51.621256660361,52.309058331029
1711975025,51.566451406113,53.201149215778
1711975034,51.50431084929,54.090853655758
1711975043,51.434871080586,54.977887227755
1711975052,51.358171777564,55.861975552871
1711975061,51.274257498502,56.742839064092
1711975070,51.183175505725,57.62021724847
1711975079,51.084976977456,58.493853313081
1711975088,50.979716546221,59.363498593417
1711975097,50.867451639836,60.228916820453
1711975106,50.748244372726,61.089869030447
1711975115,50.62215838183,61.946137101642
1711975124,50.489260646304,62.797508538895
1711975133,50.349620201938,63.64378435981
1711975142,50.203310505615,64.484764178331
1711975151,50.050405524925,65.320269056055
1711975160,49.89098203988,66.150126455773
1711975169,49.725118867976,66.974174106001
1711975178,49.552895914943,67.792263675777
1711975187,49.374397118691,68.604246166922
1711975196,49.189705667031,69.409993816857
1711975205,48.998906889236,70.209385368525
1711975214,48.802087343183,71.00230963574
1711975223,48.599333742123,71.78866886954
1711975232,48.390736456876,72.568364565571
1711975241,48.17638393132,73.341318371291
1711975250,47.95636614074,74.107457787747
1711975259,47.730772541641,74.866722851349
1711975268,47.499695999575,75.619052343493
1711975277,47.263226611929,76.364403896222
1711975286,47.021455597173,77.102740111692
1711975295,46.774474184181,77.834031687974
1711975304,46.522372365085,78.55826034801
1711975313,46.265243323042,79.275405621212
1711975322,46.003176572446,79.985463963707
1711975331,45.736262352897,80.688435467854
1711975340,45.464590427795,81.384326804996
1711975349,45.188248758553,82.073153977892
1711975358,44.907328392323,82.754929724999
1711975367,44.62191598027,83.429681687966
1711975376,44.332098634669,84.097439758153
1711975385,44.037961321036,84.75824180963
1711975394,43.739592083418,85.412121618906
1711975403,43.437074105781,86.059126299241
1711975412,43.130490908694,86.699304170955
1711975421,42.819925004497,87.332707455441
1711975430,42.505456447704,87.959394794006
1711975439,42.187168444504,88.579419812437
1711975448,41.865138890369,89.192847678621
1711975457,41.539445952687,89.799743624647
1711975466,41.210166653714,90.400175530132
1711975475,40.877375358553,90.99421633961
1711975484,40.541149728203,91.581933254177
1711975493,40.201561782435,92.163403458881
1711975502,39.858683827525,92.738703276028
1711975511,39.512586971235,93.307910647924
1711975520,39.163339551918,93.871107463265
1711975529,38.811013397202,94.428369344365
1711975538,38.455674457665,94.979780592466
1711975547,38.097389041695,95.525423938982
1711975556,37.736220645707,96.065385334592
1711975565,37.372236432242,96.599744184499
1711975574,37.005497550793,97.128587703672
1711975583,36.636065593317,97.652001117312
1711975592,36.264000997224,98.170069975416
1711975601,35.889361377221,98.68288232889
1711975610,35.512208249213,99.190519485588
1711975619,35.13259699554,99.693069673243
1711975628,34.750583567881,100.19061876188
1711975637,34.366222833966,100.68325248931
1711975646,33.979566860454,101.17105855828
1711975655,33.59067185412,101.6541178683
1711975664,33.199587808072,102.13251753703
1711975673,32.806365423573,102.60634209967
1711975682,32.411052633091,103.07567773642
1711975691,32.013701696894,103.54060385277
1711975700,31.614358618391,104.00120562426
1711975709,31.213070222684,104.4575655454
1711975718,30.809882413075,104.90976550248
1711975727,30.404838375437,105.35788873628
1711975736,29.99798584845,105.80201181916
1711975745,29.589366278399,106.24221664921
1711975754,29.179022073019,106.67858239757
1711975763,28.766994814026,107.11118750175
1711975772,28.353323423291,107.54011155873
1711975781,27.938051586113,107.96542765799
1711975790,27.52121667425,108.38721387421
1711975799,27.102857154406,108.80554557237
1711975808,26.683008880961,109.22049917377
1711975817,26.261712628356,109.63214474617
1711975826,25.839002847749,110.04055712982
1711975835,25.414915185865,110.44580850117
1711975844,24.98948462906,110.84797023524
1711975853,24.562743610172,111.24711468467
1711975862,24.134729662243,111.64330805871
1711975871,23.705473989155,112.03662113259
1711975880,23.275009107306,112.42712210224
1711975889,22.843366957228,112.81487838152
1711975898,22.410576982488,113.19995832486
1711975907,21.97667388956,113.58242436171
1711975916,21.541686054934,113.96234333355
1711975925,21.105643274347,114.33977960623
1711975934,20.668572889582,114.71479847886
1711975943,20.230507623279,115.08745949988
1711975952,19.791473870183,115.45782653701
1711975961,19.351499522395,115.82596107307
1711975970,18.910612031817,116.19192390041
1711975979,18.468836447089,116.55577675597
1711975988,18.026203330628,116.91757583805
1711975997,17.582736922405,117.27738157896
1711976006,17.138463048685,117.63525214396
1711976015,16.693407161886,117.99124507692
1711976024,16.247592358529,118.34541889427
1711976033,15.801047366714,118.69782677512
1711976042,15.353794600408,119.04852607561
1711976051,14.905858139817,119.39757200333
1711976060,14.457259744954,119.74502076985
1711976069,14.008026891585,120.09092340063
1711976078,13.558180750015,120.43533506974
1711976087,13.10774421484,120.77830889593
1711976096,12.656739911874,121.11989751535
1711976105,12.205188189046,121.46015461568
1711976114,11.753115203689,121.79912887395
1711976123,11.300540821187,122.13687309866
1711976132,10.847486697152,122.473438156
1711976141,10.393974270021,122.80887450999
1711976150,9.9400227406334,123.14323373105
1711976159,9.4856572011427,123.47656253821
1711976168,9.0308964685284,123.80891178325
1711976177,8.5757612094192,124.14033048345
1711976186,8.1202719210159,124.47086733491
1711976195,7.6644469018392,124.80057220079
1711976204,7.2083104130322,125.12949023572
1711976213,6.7518804610131,125.45767074492
1711976222,6.2951769556678,125.78516130134
1711976231,5.8382176388181,126.11201069722
1711976240,5.3810262650409,126.43826311858
1711976249,4.9236203535214,126.76396692777
